userID,taskID,domain,iteration,expertiseLevel,utility
595bd5c85ae9a80001ce3426,1,text,0,I,0.2860082372468132
595bd5c85ae9a80001ce3426,1,text,1,I,0.3387476749822418
595bd5c85ae9a80001ce3426,1,text,2,I,0.4766157336063231
595bd5c85ae9a80001ce3426,1,text,3,I,0.6151134295722753
595bd5c85ae9a80001ce3426,1,text,4,I,0.6795665652739762
595bd5c85ae9a80001ce3426,1,text,5,I,0.6556185539566542
595bd5c85ae9a80001ce3426,1,text,6,I,0.5893206840258514
595bd5c85ae9a80001ce3426,1,text,7,I,0.5409316468497368
595bd5c85ae9a80001ce3426,1,text,8,I,0.5334830397362682
595bd5c85ae9a80001ce3426,1,text,9,I,0.5391479105545759
595bd5c85ae9a80001ce3426,1,text,10,I,0.5127106508578796
595bd5c85ae9a80001ce3426,1,text,11,I,0.4407625614823321
595bd5c85ae9a80001ce3426,1,text,12,I,0.3618616641741187
595bd5c85ae9a80001ce3426,1,text,13,I,0.3379834910774576
595bd5c85ae9a80001ce3426,1,text,14,I,0.4000214778366975
595bd5c85ae9a80001ce3426,1,text,15,I,0.5140169017016561
595bd5c85ae9a80001ce3426,1,text,16,I,0.5995234232725778
595bd5c85ae9a80001ce3426,1,text,17,I,0.5889452991328246
595bd5c85ae9a80001ce3426,1,text,18,I,0.4817743833770023
595bd5c85ae9a80001ce3426,1,text,19,I,0.34961839009775353
595bd5c85ae9a80001ce3426,2,text,0,I,0.6560684209144219
595bd5c85ae9a80001ce3426,2,text,1,I,0.6135350342055722
595bd5c85ae9a80001ce3426,2,text,2,I,0.5630047367182327
595bd5c85ae9a80001ce3426,2,text,3,I,0.5153226325873523
595bd5c85ae9a80001ce3426,2,text,4,I,0.47661242584851576
595bd5c85ae9a80001ce3426,2,text,5,I,0.44820692862278105
595bd5c85ae9a80001ce3426,2,text,6,I,0.4272155656953139
595bd5c85ae9a80001ce3426,2,text,7,I,0.4076048311724651
595bd5c85ae9a80001ce3426,2,text,8,I,0.38250967905326966
595bd5c85ae9a80001ce3426,2,text,9,I,0.34802067483529
595bd5c85ae9a80001ce3426,2,text,10,I,0.3070844203943334
595bd5c85ae9a80001ce3426,2,text,11,I,0.2708963178592964
595bd5c85ae9a80001ce3426,2,text,12,I,0.25575637635679266
595bd5c85ae9a80001ce3426,2,text,13,I,0.2759032909966648
595bd5c85ae9a80001ce3426,2,text,14,I,0.3357308642422243
595bd5c85ae9a80001ce3426,2,text,15,I,0.4258401677197339
595bd5c85ae9a80001ce3426,2,text,16,I,0.5255530198910878
595bd5c85ae9a80001ce3426,2,text,17,I,0.6108339934037799
595bd5c85ae9a80001ce3426,2,text,18,I,0.6634643350139835
